time;SPEED;SPEED_filter
17.16;4.9999999999992895;5.24999999999991
17.17;5.0000000000007105;5.250000000000052
17.18;4.9999999999992895;5.249999999999875
17.19;2.5000000000007105;5.000000000000017
17.2;4.999999999998934;4.999999999999839
17.21;5.000000000001066;4.7500000000000355
17.22;4.9999999999992895;4.749999999999893
17.23;2.499999999999467;4.499999999999912
17.240000000000002;5.000000000001066;4.50000000000009
17.25;2.4999999999998224;4.2499999999999645
17.26;5.0000000000007105;4.250000000000107
17.27;2.4999999999998224;4.000000000000019
17.28;5.000000000001066;4.000000000000196
17.29;2.499999999999467;4.000000000000071
17.3;2.5000000000003553;3.750000000000213
17.31;2.4999999999998224;3.5000000000000897
17.32;2.499999999999467;3.2500000000001066
17.330000000000002;2.5000000000007105;3.250000000000231
17.34;2.499999999999467;3.000000000000071
17.35;2.5000000000003553;3.0000000000001243
17.36;2.4999999999998224;2.7500000000000355
17.37;2.5000000000003553;2.750000000000089
17.38;2.4999999999998224;2.4999999999999645
17.39;2.499999999999467;2.4999999999999645
17.400000000000002;2.5000000000003553;2.4999999999999645
17.41;2.4999999999998224;2.4999999999999645
17.42;2.5000000000003553;2.5000000000000533
17.43;2.4999999999998224;2.4999999999999645
17.44;2.5000000000003553;2.5000000000000533
17.45;2.499999999999467;2.4999999999999645
17.46;0.0;2.2499999999999822
17.47;2.4999999999998224;2.249999999999929
17.48;2.499999999999467;2.2499999999998934
17.490000000000002;2.5000000000007105;2.2500000000000178
17.5;0.0;1.9999999999999822
17.51;2.5000000000003553;2.0000000000000355
17.52;2.499999999999467;1.9999999999999467
17.53;0.0;1.7499999999999645
17.54;2.4999999999998224;1.7499999999999112
17.55;2.5000000000003553;1.75
17.56;0.0;1.75
17.57;2.4999999999998224;1.75
17.580000000000002;0.0;1.5000000000000533
17.59;2.499999999999467;1.499999999999929
17.6;2.5000000000003553;1.7499999999999645
17.61;0.0;1.499999999999929
17.62;0.0;1.2499999999999822
17.63;2.4999999999998224;1.4999999999999645
17.64;0.0;1.2499999999999822
17.650000000000002;2.5000000000003553;1.2499999999999822
17.66;0.0;1.2499999999999822
17.67;2.5000000000007105;1.250000000000071
17.68;0.0;1.250000000000071
17.69;2.5000000000003553;1.2500000000001599
17.7;0.0;1.0000000000001243
17.71;0.0;1.0000000000001243
17.72;2.499999999999467;1.250000000000071
17.73;0.0;1.0000000000000888
17.740000000000002;2.5000000000007105;1.2500000000001599
17.75;0.0;1.0000000000001243
17.76;0.0;1.0000000000001243
17.77;2.499999999999467;1.0
17.78;0.0;1.0
17.79;2.4999999999998224;0.9999999999999467
17.8;0.0;0.9999999999999467
17.81;0.0;0.9999999999999467
17.82;0.0;0.75
17.830000000000002;2.5000000000003553;1.0000000000000355
17.84;0.0;0.7499999999999645
17.85;0.0;0.7499999999999645
